Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1975,1795138.8924640515,1832717.1759114722,2778930.8835949562,787337.7227153549,2582022.0707814,1140694.2679276695,2388654.5606971234,1249931.817056581,1603318.89335713,2605468.2996218037,1916098.0019442174,2940127.4649050105,2985517.1990764495,1993709.6846846694,2003396.8649268798,1764843.987364953,1845955.3173470988
1976,1817963.8558985724,1803765.5853121462,2769658.8291082997,762556.0001161664,2595891.084857651,1135459.2354527712,2347157.5328566656,1203536.7175444139,1579370.8313994887,2545853.3513002675,1926373.2250431695,2926890.6568772155,3006596.623985596,1985129.2062489178,2004587.7317099525,1754653.687482075,1798137.235845094
1977,1867989.5135691832,1858784.0313060877,2854005.2485688347,780816.4694722011,2642665.6561992536,1165875.8586426687,2427355.625588271,1226950.848453395,1569279.5042696649,2624101.315919986,1954768.716415484,3000763.1140056374,3014304.7375663756,2016098.1417410863,2016969.113918543,1783529.8866121704,1850752.4159719842
1978,1828591.4827278305,1694594.3495990662,2599088.9182974417,717181.1428905935,2406520.6767643476,1134071.1771589012,2215202.8285880773,1114185.3140544994,1483447.3034252806,2429888.538065782,1829753.1788452915,2768291.4931380376,2735936.2119572936,1943012.5486461907,1911346.8669159296,1674815.8104965591,1768417.7677271517
1979,1914923.8170546438,1784785.1577114747,2670106.589524529,756170.4953003968,2570416.493937203,1165134.4691587687,2403101.3891781513,1246071.049305201,1576189.8364091776,2543148.937671777,1874197.9412308594,2893923.803470555,2909870.685171466,1984399.646979573,1937215.4193680738,1757601.6604668044,1818607.6276624224
1980,1871417.5343587298,1817941.2827133415,2776687.7284568385,779701.3797822015,2657839.127591338,1165588.3344759883,2384680.8250601254,1263527.29110426,1586251.927242947,2617902.1931646224,1891224.755621866,2953701.1829488,2909786.1433725557,2036362.3906181674,1971809.6014489646,1769960.4585918784,1840457.537386638
1981,1896262.8158249147,1817179.8251824467,2759861.6880280017,812154.9435138932,2648802.945941331,1205762.3727881904,2375325.344295603,1266805.5040025997,1562728.4302600967,2657223.5049442304,1898982.2676086747,2972749.5024245866,2945437.3243360748,2044601.268538256,2016356.5482061843,1794670.0410375944,1885779.1162346974
1982,1829154.9741265744,1692580.3699223036,2581497.8519584932,773563.2562999382,2477984.294603856,1172350.7004176497,2261606.751194043,1207302.846792693,1534194.279147441,2537375.9151755692,1859214.8645387446,2854469.908243471,2861602.756828719,1965231.3674673373,1941547.1208955154,1717520.0071782826,1828844.6226421092
1983,1875583.5949062593,1850810.949785029,2699938.3127194326,801525.1016669439,2608582.053145537,1232506.865185607,2349188.400164705,1282064.2470995286,1617989.3685882473,2762641.366171228,1931037.1240827767,2951327.910003923,2986879.930219855,2058900.118323584,2047472.829315595,1774899.3976182274,1913954.0471473513
1984,1898481.8569744802,1880342.5697533125,2839488.3817142695,826998.0659638018,2705542.5716803493,1225334.5789095645,2384928.0851026135,1275288.6186710403,1623938.987429359,2707134.3770417543,1948581.4573978565,3011884.446236242,2974715.166117089,2064210.7866616086,2107983.053004987,1792924.4522130387,1890617.2955673975
1985,1889246.0048784907,1669380.8413968093,2599319.8829567414,749818.4462860234,2538129.978205245,1176553.912191347,2287938.265330421,1224622.6841748436,1520693.3692205432,2489822.354809312,1858251.587768798,2858314.0474824114,2842206.392432911,1934642.1531674494,1983127.316000414,1722933.9498546924,1818422.094128566
1986,1903465.0959542466,1732261.1622795914,2749391.0321694906,780781.4559861609,2561609.558487257,1205209.579322453,2288254.458871146,1224961.3395292314,1583691.1266644616,2582855.796820837,1898457.226187203,2867488.725645468,2875147.7404565588,2005877.6999468084,2002151.713337969,1749843.596460774,1858112.8293471835
1987,2046192.1288003107,1835200.2376027047,2792587.4504149407,798765.9286021965,2648221.0078218505,1260235.0466941567,2428073.9982596785,1284365.5940500526,1632131.7388239,2694190.2014060477,1948749.5397197353,3033224.95394569,3005246.87209193,2073219.5513835484,2073635.8227021773,1805571.4126321457,1886633.4916070043
1988,1988893.238243184,1923386.209456313,2860747.4585801223,851705.1818390191,2739969.0978310644,1276593.9969245072,2436458.119772381,1370947.869754861,1686451.91913982,2780423.411278433,1969934.1555483118,3075136.2093693647,3074487.8180708154,2110992.029249032,2128159.4532836257,1844822.244205528,1936618.969842921
1989,1944341.8968711693,1934118.537855485,2889191.462624965,861396.4498062371,2788900.0105714006,1284124.4930841327,2537660.7689271537,1409910.1857825653,1656646.5886353313,2789861.997241126,2050984.132886858,3153263.3550718846,3169347.4450553646,2137842.7723291777,2159042.405619199,1878101.7914930407,1963814.500497037
1990,1857272.9167365967,1846738.0496010226,2877852.3725595064,825955.1490460141,2700090.5373139475,1271689.5157847547,2443742.763179055,1310276.6543102814,1631460.1980914548,2765087.028697721,2015784.38861493,3081182.7043896206,3039699.7351456936,2114643.1897098604,2146359.110219962,1839158.281391283,1919448.2044050305
1991,1992952.4303450678,1892607.6054163119,2955789.4795584483,855415.596098582,2763292.0382554596,1285415.1982587504,2466782.555441131,1375301.4193841806,1696232.0423895563,2775504.146497707,2057866.0642387373,3111300.0891646305,3110105.2237470797,2130919.500565093,2153720.52883837,1863238.0592977654,1935506.9552725935
