Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1981,5884620.095630981,8033897.276486297,8303966.660257267,5529045.789252462,8456683.246011533,6300394.262898264,6448467.652399984,6816197.347220057,4812806.551546796,8545572.528917868,6356115.035183879,9950264.904518997,9345067.230976047,9153498.829757595,6988350.044128127,7344304.76075306,8894332.678584088
1982,5789707.31958776,7891321.115989612,8410413.983845677,5363360.181879131,8517815.524273893,6351288.928759616,6582272.169135214,6561484.171087637,4839434.732039224,8454015.436441017,6241378.5304986155,9569150.95631225,9457564.347814519,8906670.71607923,6911506.016392358,7020627.051076191,8732933.185477417
1983,6009319.365105736,7860354.871415332,8386500.680600796,5530854.28729957,8599652.917539252,6357304.175221147,6610731.0798308365,6735472.441568842,4660668.238174571,8594917.917855073,6305801.295306994,9912171.363317762,9221067.297837302,9137273.680859648,6962273.568418009,7403841.2611294575,8852759.856789375
1984,5455647.298976364,7757888.211932623,8246283.287277663,5425785.559861994,8272386.575181925,6408521.365725353,6630821.334253527,6592317.65364402,4467817.380808264,8419960.608393516,6276460.357435128,9793926.619364232,9113909.708091483,8718011.578335293,7110414.844030048,7167936.268296437,8664398.520303404
1985,5692224.097668549,7826534.987711257,8314617.3495813785,5405114.553445026,8337578.316368741,6427965.817336526,6623442.811082795,6685614.990567364,4864366.888582423,8413093.151604407,6387064.939285888,9775291.888827387,9154744.605557738,8991381.50934763,7189488.301938843,7254514.963913719,8791128.310696464
1986,5597566.330667019,7826628.079985123,8392708.434333226,5479893.838254704,8371368.679958918,6422739.210101854,6604434.854242442,6655485.213199853,5000589.395142855,8396453.043545932,6359288.929713599,9861098.980737079,9414454.13522284,9100212.856225343,7166510.882677927,7322097.925390852,8910367.455406705
1987,5829991.965216796,7851262.448432924,8429938.633195072,5426854.109383976,8484149.228505608,6341852.875357979,6820804.000425716,6677735.045058047,4943256.044457478,8398134.000793679,6408770.01572413,9915158.769466823,9503409.003354382,9184090.480512097,7316986.830171207,7300470.768089868,8950724.376236454
1988,5640053.98503867,7729416.576950089,8203524.784411458,5469677.633752393,8190291.257021213,6220047.045042077,6635372.067695442,6499089.762459248,4460919.376674845,8219579.302517027,6252174.984452661,9657353.28857303,9086209.861916207,8855951.153598307,7177934.164157281,7251713.016706321,8674862.738794021
1989,5635718.263983632,8085824.508840612,8414285.934193457,5503989.836730881,8489254.223591708,6511065.555108897,6949975.3156701885,6782572.492765775,4676259.449702531,8351744.171073193,6375637.346730303,9809625.223353254,9269351.736024026,8911877.670397475,7295921.639170304,7185586.731654994,8885618.504222339
1990,5823967.665540928,8099027.568665312,8655942.172723537,5664340.602003187,8829780.304467266,6759277.373672026,7002219.975812683,6943190.658848874,4970145.748732762,8550547.5205207,6561810.630788578,10308286.823677223,9369571.02136148,9288671.233078156,7294929.439075246,7415378.177180801,8973251.681462908
1991,5765302.075888053,8046166.799157463,8555922.00160607,5637969.582571488,8720574.93522925,6742052.633908702,6869641.653614679,6878934.195702924,5013964.612432395,8599308.735288803,6514566.553299485,10094352.58855229,9333348.388133973,9371364.831885502,7442772.395914232,7389334.214037613,9054903.26897576
1992,5921301.1439946005,8035583.803528528,8518872.1232654,5584083.170865977,8582604.911574025,6834635.430386181,6984343.103581251,6881619.696900482,4818537.437067628,8649774.582747845,6562286.0941893635,10140625.733129565,9466118.454824947,9334903.924015429,7179451.072385075,7391651.151562861,9117367.051954672
1993,5959216.332894355,8137064.418377433,8574346.184359927,5507755.743148091,8450209.519859795,6868216.44382035,7119499.269258143,7091538.468133612,5275600.552464459,8761638.505621469,6482113.786758676,9993196.434913952,9667674.091182288,9251776.981744334,7229705.73945678,7240036.53926049,9157831.180445313
1994,5745720.059747317,7875281.616783399,8460030.361902464,5497026.392224051,8618378.944560694,6848143.787401376,7017886.791321258,6743006.399951328,4820687.335800442,8436958.348228715,6293218.865553789,9864718.72562483,9440000.354211839,8993236.369102817,7061726.1668055095,7231360.604522848,8898386.011777498
1995,5978297.481441837,8109882.082008565,8454126.949524887,5719382.57087831,8782780.676517274,6873990.882810466,7042034.433818513,6938010.7978923535,4907928.8142721085,8622030.587731358,6510105.94367839,10155202.967760209,9428600.319115318,9354626.052539095,7266187.984064309,7425908.794959891,9131555.087544348
