Id,Name,Country,longitude,latitude,PI names,Site type,Elevation above sea,Station class,Labeling date
http://meta.icos-cp.eu/resources/stations/ES_FR-LGt,La Guette,France (FR),2.284102,47.322918,Guimbaud,permanent wetlands,153,Associated,2019/11/21
http://meta.icos-cp.eu/resources/stations/AS_NOR,Norunda,Sweden (SE),17.4794,60.0864,Lehner,tall tower,46,1,2018/5/31
http://meta.icos-cp.eu/resources/stations/ES_IT-MBo,Monte Bondone,Italy (IT),11.045831,46.01468,Gianelle,grasslands,1550,2,2022/11/23
http://meta.icos-cp.eu/resources/stations/AS_HPB,Hohenpeissenberg,Germany (DE),11.0246,47.8011,Kneuer Lindauer Müller-Williams Zwerschke,tall tower,934,1,2017/11/17
http://meta.icos-cp.eu/resources/stations/OS_26RA,Tukuma Arctica,Norway (NO),,,Olsen,soop,-5,1,2018/5/31
http://meta.icos-cp.eu/resources/stations/ES_DE-Gwg,Graswang,Germany (DE),11.032604,47.570835,Schmid,grasslands,864,Associated,2025/5/21
http://meta.icos-cp.eu/resources/stations/ES_FI-Lom,Lompolojankka,Finland (FI),24.209179,67.99724,Lohila,permanent wetlands,247,2,2024/11/6
http://meta.icos-cp.eu/resources/stations/AS_PAL,Pallas,Finland (FI),24.1157,67.9733,Hatakka,mountain,565,1,2018/11/30
VTO,Valentia Island,Ireland (IE),-10.2445,51.9397,Martin,coastal,,2,
http://meta.icos-cp.eu/resources/stations/ES_FR-Hes,Hesse,France (FR),7.06465,48.6741,Cuntz,deciduous broadleaf forests,310,1,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_FI-Ken,Kenttarova,Finland (FI),24.24301,67.98721,Aurela,evergreen needleleaf forests,347,Associated,2021/5/25
http://meta.icos-cp.eu/resources/stations/ES_DK-Sor,Soroe,Denmark (DK),11.644645,55.48587,Ibrom,deciduous broadleaf forests,55,1,2021/11/17
http://meta.icos-cp.eu/resources/stations/ES_DE-Hzd,Hetzdorf,Germany (DE),13.48978,50.96381,Mauder,deciduous broadleaf forests,395,Associated,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_DE-Fen,Fendt,Germany (DE),11.060701,47.832905,Schmid,grasslands,595,Associated,2025/5/21
IT-Col,Collelongo,Italy (IT),13.5881,41.8494,Matteucci,deciduous broadleaf forests,,Associated,
http://meta.icos-cp.eu/resources/stations/ES_IT-Niv,Nivolet,Italy (IT),7.13943,45.49091,Provenzale,grasslands,2750,Associated,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_DE-Kie,Kienhorst,Germany (DE),13.64393,52.97343,Hentschel,forest,63,Associated,
http://meta.icos-cp.eu/resources/stations/ES_FR-FBn,Font-Blanche,France (FR),5.67865,43.24079,Simioni,evergreen needleleaf forests,436,2,2022/11/23
http://meta.icos-cp.eu/resources/stations/AS_TRN,Trainou,France (FR),2.1125,47.9647,Delmotte Lopez Lopez,tall tower,131,1,2018/11/30
http://meta.icos-cp.eu/resources/stations/OS_VOS%20France-Brazil,France-Brazil,France (FR),,,Lefèvre,soop,-10,1,2018/5/31
http://meta.icos-cp.eu/resources/stations/ES_BE-Lon,Lonzee,Belgium (BE),4.746234,50.55162,Dumont,croplands,170,2,2017/11/17
http://meta.icos-cp.eu/resources/stations/ES_FI-Let,Lettosuo,Finland (FI),23.95952,60.64183,Korkiakoski,evergreen needleleaf forests,125,Associated,2018/11/30
http://meta.icos-cp.eu/resources/stations/AS_HTM,Hyltemossa,Sweden (SE),13.4189,56.0976,Biermann Heliasz,tall tower,115,1,2018/5/31
IT-MIR,IT-FOS-Miramare,Italy (IT),13.708,45.698,Giani,fixed station,-2,2,2022/11/23
http://meta.icos-cp.eu/resources/stations/ES_SE-Oes,Östergarnsholm,Sweden (SE),18.98415,57.4301,Rutgersson,water bodies,1.4,Associated,2025/5/21
http://meta.icos-cp.eu/resources/stations/AS_RGL,Ridge Hill,United Kingdom of Great Britain and Northern Ireland (GB),-2.5399,51.9975,O'Doherty Pitt,tall tower,207,2,2022/5/18
